"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] MovieTitleJaccard record1Value","[0] MovieTitleJaccard record2Value","[0] MovieTitleJaccard record1PreprocessedValue","[0] MovieTitleJaccard record2PreprocessedValue","[0] MovieTitleJaccard similarity","[0] MovieTitleJaccard postproccesedSimilarity","[1] MovieDirectorJaccard record1Value","[1] MovieDirectorJaccard record2Value","[1] MovieDirectorJaccard record1PreprocessedValue","[1] MovieDirectorJaccard record2PreprocessedValue","[1] MovieDirectorJaccard similarity","[1] MovieDirectorJaccard postproccesedSimilarity","[2] MovieProducerJaccard record1Value","[2] MovieProducerJaccard record2Value","[2] MovieProducerJaccard record1PreprocessedValue","[2] MovieProducerJaccard record2PreprocessedValue","[2] MovieProducerJaccard similarity","[2] MovieProducerJaccard postproccesedSimilarity"
"LinearCombinationMatchingRule","dbpedia_id_5914","HM_id_4482","0.22857142857142856",,"Men of the Fighting Lady","Medicine of the Wolf","Men of the Fighting Lady","Medicine of the Wolf","0.2857142857142857","0.2857142857142857","Andrew Marton","Julia Huffman","Andrew Marton","Julia Huffman","0.0","0.0","Henry Berman","Julia Huffman","Henry Berman","Julia Huffman","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_8581","HM_id_2696","0.9",,"Seraphim Falls","Seraphim Falls","Seraphim Falls","Seraphim Falls","1.0","1.0","David Von Ancken","David Von Ancken","David Von Ancken","David Von Ancken","1.0","1.0","Bruce Davey","David Von Ancken","Bruce Davey","David Von Ancken","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_4860","HM_id_3788","0.0",,"Koyaanisqatsi","Kodachrome","Koyaanisqatsi","Kodachrome","0.0","0.0","Godfrey Reggio","Mark Raso","Godfrey Reggio","Mark Raso","0.0","0.0","Godfrey Reggio","Jonathan Tropper","Godfrey Reggio","Jonathan Tropper","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_7436","HM_id_3883","0.0",,"Beerfest","Ben-Hur","Beerfest","Ben-Hur","0.0","0.0","Jay Chandrasekhar","Timur Bekmambetov","Jay Chandrasekhar","Timur Bekmambetov","0.0","0.0","Bill Gerber","Lew Wallace","Bill Gerber","Lew Wallace","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_735","HM_id_2328","0.14545454545454548",,"The Mystery of a Hansom Cab (1925 film)","The Myth of the American Sleepover","The Mystery of a Hansom Cab (1925 film)","The Myth of the American Sleepover","0.18181818181818182","0.18181818181818182","Arthur Shirley","David Robert Mitchell","Arthur Shirley","David Robert Mitchell","0.0","0.0","Arthur Shirley","David Robert Mitchell","Arthur Shirley","David Robert Mitchell","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_2590","HM_id_3312","0.7000000000000001",,"Friday Night Lights (film)","Friday Night Lights","Friday Night Lights (film)","Friday Night Lights","0.75","0.75","Peter Berg","Peter Berg","Peter Berg","Peter Berg","1.0","1.0","Brian Grazer","Buzz Bissinger","Brian Grazer","Buzz Bissinger","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_914","HM_id_1811","0.0",,"Baise-moi","Bandits","Baise-moi","Bandits","0.0","0.0","Coralie Trinh Thi","Barry Levinson","Coralie Trinh Thi","Barry Levinson","0.0","0.0","Philippe Godeau","Harley Peyton","Philippe Godeau","Harley Peyton","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_5268","HM_id_3356","0.5",,"Fast & Furious (2009 film)","Fast & Furious","Fast & Furious (2009 film)","Fast & Furious","0.5","0.5","Justin Lin","Justin Lin","Justin Lin","Justin Lin","1.0","1.0","Neal H. Moritz","Chris Morgan","Neal H. Moritz","Chris Morgan","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_5268","HM_id_3355","0.42000000000000004",,"Fast & Furious (2009 film)","Fast & Furious 6","Fast & Furious (2009 film)","Fast & Furious 6","0.4","0.4","Justin Lin","Justin Lin","Justin Lin","Justin Lin","1.0","1.0","Neal H. Moritz","Chris Morgan","Neal H. Moritz","Chris Morgan","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_402","HM_id_3444","0.0",,"Desoddharakulu","Defiance","Desoddharakulu","Defiance","0.0","0.0","C. S. Rao","Edward Zwick","C. S. Rao","Edward Zwick","0.0","0.0","U. Visweswar Rao","Clayton Frohman","U. Visweswar Rao","Clayton Frohman","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_9577","HM_id_4159","0.26666666666666666",,"The Conspirator","The Colony","The Conspirator","The Colony","0.3333333333333333","0.3333333333333333","Robert Redford","Jeff Renfroe","Robert Redford","Jeff Renfroe","0.0","0.0","Robert Redford","Jeff Renfroe","Robert Redford","Jeff Renfroe","0.0","0.0"
