"imdbid","title","budget","gross","release_date","directors","producers","actors"
,"Chhakka Panja 2","1.5","14.5",,"Deepa Shree Niraula","Deepa Shree Niraula, Deepak Raj Giri, Jitu Nepal, Kedar Prasad Ghimire (Magnebudo)","Barsha Raut, Buddhi Tamang, Deepak Raj Giri, Jitu Nepal, Kedar Prasad Ghimire (Magnebudo), Priyanka Karki, Swastima Khadka"
,"Moving Targets (film)",,"4224175.0",,"Wong Jing","Wong Jing","Edison Chen, Gillian Chung, Kent Tong, Lam Suet, Michelle Yim, Nicholas Tse, Simon Yam"
,"Summer Snow (film)",,"1.4E7",,"Ann Hui","Ann Hui","Josephine Siao, Roy Chiao"
,"Dedunu Akase",,"9.5",,"Priyantha Colombage","Swarnawahini, ස්වර්ණවාහිනී","Chulakshi Ranathunga, Hemal Ranasinghe, හේමාල් රණසිංහ"
,"Gindari",,"45.0",,"Udayakantha Warnasuriya","Udayakantha Warnasuriya","Mahendra Perera, Paboda Sandeepani, Rodney Warnakula, Sriyantha Mendis, පබෝධා සන්දීපනී, මහේන්ද්‍ර පෙරේරා, රොඩ්නි වර්ණකුල"
,"Gurin with the Foxtail","3.5E7","2.6E7",,"John M. Jacobsen","John M. Jacobsen",""
,"Trollhunter","1.9E7","2.4E7",,"André Øvredal","John M. Jacobsen","Hans Morten Hansen, Knut Nærum, Otto Jespersen, Robert Stoltenberg"
,"A Warrior's Tail","1.0E9","9.41E7",,"Maxim Fadeev, Максим Фадеев","Fyodor Bondarchuk","Fyodor Bondarchuk, Glukoza, Jim Cummings, Joe Pesci, Konstantin Khabensky, Mikhail Galustyan, Milla Jovovich, Natalya Ionova, Sharon Stone, Whoopi Goldberg, Will Chase, Yulia Savicheva"
"8006374","Baba Yaga: Terror of the Dark Forest","8.0E7","7.5E7",,"Svyatoslav Podgayevsky","Alexander Rodnyansky","Aleksey Rozin, Maryana Spivak, Svetlana Ustinova"
"10397854","Robo (2019 film)","1.5E8","6.6457401E7",,"Sarik Andreasyan","Sarik Andreasyan","Konstantin Lavronenko, Sergey Bezrukov, Vladimir Vdovichenkov"
,"The Age of Pioneers","4.0E8","5.61E8",,"Dmitry Kiselyov","Timur Bekmambetov, Yevgeny Mironov","Aleksandr Ilyin Jr., Anatoliy  Kotenyov, Konstantin Khabensky, Vladimir Ilyin, Yelena Panova, Yevgeny Mironov"
,"A Rough Draft","200.0","209.0",,"Sergey Mokritskiy","Yekaterina Mtsituridze","Yevgeny Tsyganov, Yulia Peresild"
,"Tsoi (film)","1.5E8","2.6236961E7",,"Alexey Uchitel","Alexey Uchitel","Igor  Vernik, Maryana Spivak, Paulina Andreeva, Yevgeny Tsyganov"
,"Attraction (2017 film)","6300000.0","1.07338168E9",,"Fyodor Bondarchuk","Fyodor Bondarchuk","Alexander Petrov, Rinal Mukhametov"
,"Attraction (2017 film)","3.8E8","1.07338168E9",,"Fyodor Bondarchuk","Fyodor Bondarchuk","Alexander Petrov, Rinal Mukhametov"
,"Parey Hut Love","8.0","30.0",,"Asim Raza","Shahbaz Shigri, Sheheryar Munawar","Mahira Khan, Maya Ali, Sheheryar Munawar, Zara Noor Abbas"
,"Waar","1.7E8","3.465E8",,"Bilal Lashari","Syed Mujtaba Tirmizi","Ali Azmat Butt, Meesha Shafi, Shaan Shahid, Shamoon Abbasi"
,"Zátopek (film)","9.2E7","6.4E7",,"David Ondříček","David Ondříček","Martha Issová, Václav Neužil"
"0471725","Gympl",,"4.9952154E7",,"Tomáš Vorel","Tomáš Vorel","Jiří Mádl"
,"Havel (film)","6.0E7","2.1E7",,"Slávek Horák","Slávek Horák",""
,"Nasi Lemak 2.0","1.0","7000000.0",,"Namewee","Sylvia Lim","Adibah Noor, Afdlin Shauki, David Arumugam, Karen Kong, Namewee, Resh"
,"Gerak Khas The Movie","1350000.0","4400000.0",,"Yusof Haslam","Yusof Haslam","Abby Abadi, Erra Fazira, Nasha Aziz, Rosyam Nor, Yusof Haslam"
"1483347","Cicak Man 2: Planet Hitam","2500000.0","2850000.0",,"KRU","KRU","Aznil Nawawi, Fasha Sandha, Saiful Apek, Sharifah Amani, Tamara Bleszynski (Tamara Błeszyński)"
,"Bukit Kepong (film)","1300000.0","1700000.0",,"Jins Shamsudin","Jins Shamsudin","Jins Shamsudin"
"0073239","A Guy and a Gal",,"9439000.0",,"Lasse Hallström","Bengt Forslund, Olle Hellbom","Brasse Brännström"
,"Language of Love","700000.0","7083000.0",,"Torgny Wickman","Inge Ivarson",""
